Day,Lab Test,Confirmed case,Death Case
2020-10-19,15146,1637,21
2020-10-20,13611,1380,18
2020-10-21,14086,1545,24
2020-10-22,14958,1696,24
2020-10-23,14119,1586,14
2020-10-24,10998,1094,19
2020-10-25,11103,1308,23
2020-10-26,13758,1436,15
2020-10-27,12617,1335,20
2020-10-28,12357,1493,23
2020-10-29,14268,1681,25
2020-10-30,14141,1604,19
2020-10-31,11532,1320,18
2020-09-01,12209,1950,35
2020-09-02,15204,2582,35
2020-09-03,14422,2158,32
2020-09-04,13073,1929,29
2020-09-05,12847,1950,35
2020-09-06,11354,1592,32
2020-09-07,15412,2202,37
2020-09-08,14973,1892,36
2020-09-09,14755,1827,41
2020-09-10,15559,1892,41
2020-09-11,14747,1792,34
2020-09-12,10723,1282,34
2020-09-13,12999,1476,31
2020-09-14,14216,1812,26
2020-09-15,14050,1724,43
2020-09-16,13360,1615,21
2020-09-17,13673,1593,36
2020-09-18,12730,1541,22
2020-09-19,13170,1567,32
2020-09-20,11591,1544,26
2020-09-21,13053,1705,40
2020-09-22,14164,1557,28
2020-09-23,14150,1666,37
2020-09-24,12900,1540,28
2020-09-25,12473,1383,21
2020-09-26,10765,1106,36
2020-09-27,10685,1275,32
2020-09-28,11922,1407,32
2020-09-29,12869,1488,26
2020-09-30,13404,1436,32
2021-04-01,28191,6469,59
2021-04-02,30293,6830,50
2021-04-03,24100,5683,58
2021-04-04,30724,7087,53
2021-04-05,30239,7075,52
2021-04-06,34311,7213,66
2021-04-07,34630,7626,63
2021-04-08,33193,6854,74
2021-04-09,31654,7462,63
2021-04-10,26077,5343,77
2021-04-11,29376,5819,78
2021-04-12,34968,7201,83
2021-04-13,32955,6028,69
2021-04-14,24825,5185,96
2021-04-15,19959,4192,94
2021-04-16,18906,4417,101
2021-04-17,16185,3473,101
2021-04-18,19404,3698,102
2021-04-19,24152,4271,112
2021-04-20,27056,4559,91
2021-04-21,28408,4280,95
2021-04-22,27429,4014,98
2021-04-23,25896,3629,88
2021-04-24,20571,2697,83
2021-04-25,21922,2922,101
2021-04-26,25786,3306,97
2021-04-27,24237,3031,78
2021-04-28,28206,2955,77
2021-04-29,24928,2341,88
2021-04-30,21046,2177,57
2021-08-01,49529,14844,231
2021-08-02,53462,15989,246
2021-08-03,55284,15776,235
2021-08-04,49514,13817,241
2021-08-05,46995,12744,264
2021-08-06,48015,12606,248
2021-08-07,31714,8136,261
2021-08-08,42003,10299,241
2021-08-09,47207,11463,245
2021-08-10,47424,11164,264
2021-08-11,44430,10420,237
2021-08-12,45078,10126,215
2021-08-13,40641,8465,197
2021-08-14,33330,6885,178
2021-08-15,33001,6684,187
2021-08-16,33015,6959,174
2021-08-17,39278,7535,198
2021-08-18,41014,7248,172
2021-08-19,37226,6566,159
2021-08-20,34892,5993,145
2021-08-21,23882,3991,120
2021-08-22,31689,4804,139
2021-08-23,36789,5717,117
2021-08-24,34708,5249,114
2021-08-25,33640,4966,114
2021-08-26,34111,4698,102
2021-08-27,27578,3525,117
2021-08-28,25129,3436,80
2021-08-29,27921,3948,89
2021-08-30,30855,3724,94
2021-08-31,28097,3357,86
2021-12-01,18851,282,2
2021-12-02,21057,261,3
2021-12-03,17387,243,3
2021-12-04,16428,176,6
2021-12-05,19132,197,6
2021-12-06,19237,277,4
2021-12-07,20014,291,5
2021-12-08,20549,277,6
2021-12-09,21496,262,0
2021-12-10,20052,269,1
2021-12-11,15632,177,5
2021-12-12,21612,329,6
2021-12-13,22037,385,3
2021-12-14,22870,295,3
2021-12-15,28153,297,4
2021-12-16,25203,257,3
2021-12-17,16310,191,2
2021-12-18,13991,122,4
2021-12-19,19332,211,1
2021-12-20,19955,260,2
2021-02-01,12475,443,10
2021-02-02,14452,525,12
2021-02-03,14985,438,13
2021-02-04,15273,485,13
2021-02-05,15566,435,7
2021-02-06,12135,305,8
2021-02-07,12404,292,15
2021-02-08,13762,316,16
2021-02-09,14468,387,8
2021-02-10,14999,388,10
2021-02-11,15776,418,9
2021-02-12,14328,404,5
2021-02-13,12871,291,13
2021-02-14,12900,326,8
2021-02-15,14138,446,11
2021-02-16,14788,396,13
2021-02-17,16612,443,16
2021-02-18,14603,391,15
2021-02-19,14232,406,8
2021-02-20,11148,350,5
2021-02-21,14036,327,7
2021-02-22,11103,366,7
2021-02-23,12748,399,18
2021-02-24,16152,428,5
2021-02-25,15560,410,5
2021-02-26,15032,470,11
2021-02-27,12348,407,5
2021-02-28,13411,385,8
2021-01-01,12103,990,17
2021-01-02,9701,684,23
2021-01-03,10925,835,27
2021-01-04,12096,910,24
2021-01-05,14462,991,20
2021-01-06,15544,978,17
2021-01-07,15381,1007,31
2021-01-08,13681,785,16
2021-01-09,12908,692,22
2021-01-10,12920,1071,25
2021-01-11,14097,849,22
2021-01-12,14363,718,16
2021-01-13,15727,890,14
2021-01-14,16608,813,16
2021-01-15,13678,762,13
2021-01-16,12215,578,21
2021-01-17,13446,569,23
2021-01-18,12707,697,16
2021-01-19,15097,702,20
2021-01-20,15410,656,8
2021-01-21,14761,584,16
2021-01-22,14846,619,15
2021-01-23,11115,436,22
2021-01-24,14169,473,20
2021-01-25,14829,602,18
2021-01-26,14401,515,14
2021-01-27,15720,528,17
2021-01-28,14830,509,15
2021-01-29,12075,454,7
2021-01-30,12084,363,17
2021-01-31,12225,369,16
2021-07-01,32055,8301,143
2021-07-02,30012,8483,132
2021-07-03,22687,6214,134
2021-07-04,29879,8661,153
2021-07-05,34002,9964,164
2021-07-06,36631,11525,163
2021-07-07,35639,11162,201
2021-07-08,36850,11651,199
2021-07-09,36586,11324,212
2021-07-10,27884,8772,185
2021-07-11,40015,11874,230
2021-07-12,44067,13768,220
2021-07-13,41755,12198,203
2021-07-14,42490,12383,210
2021-07-15,44941,12236,226
2021-07-16,41947,12148,187
2021-07-17,29214,8489,204
2021-07-18,39806,11578,225
2021-07-19,45012,13321,231
2021-07-20,39510,11579,200
2021-07-21,24979,7614,173
2021-07-22,11486,3697,187
2021-07-23,20493,6364,166
2021-07-24,20827,6780,195
2021-07-25,37587,11291,228
2021-07-26,50952,15192,247
2021-07-27,52478,14925,258
2021-07-28,53877,16230,237
2021-07-29,52282,15271,239
2021-07-30,45044,13862,212
2021-07-31,30980,9369,218
2021-06-01,18250,1765,41
2021-06-02,20259,1988,34
2021-06-03,16972,1687,30
2021-06-04,18151,1887,34
2021-06-05,13115,1447,43
2021-06-06,15613,1676,38
2021-06-07,17169,1970,30
2021-06-08,19165,2322,44
2021-06-09,20584,2537,36
2021-06-10,19447,2576,40
2021-06-11,18535,2454,43
2021-06-12,11590,1637,39
2021-06-13,18749,2436,47
2021-06-14,20602,3050,54
2021-06-15,23265,3319,50
2021-06-16,23807,3956,60
2021-06-17,24871,3840,63
2021-06-18,20882,3883,54
2021-06-19,16964,3057,67
2021-06-20,22231,3641,82
2021-06-21,24057,4636,78
2021-06-22,25028,4846,76
2021-06-23,28256,5727,85
2021-06-24,30391,6058,81
2021-06-25,27653,5869,108
2021-06-26,19262,4334,77
2021-06-27,24400,5268,119
2021-06-28,35059,8364,104
2021-06-29,31982,7666,112
2021-06-30,35105,8822,115
2021-03-01,13570,585,8
2021-03-02,15325,515,7
2021-03-03,16414,614,5
2021-03-04,15985,619,7
2021-03-05,13710,635,6
2021-03-06,13082,540,10
2021-03-07,14092,606,11
2021-03-08,16958,845,14
2021-03-09,17775,912,13
2021-03-10,17032,1018,7
2021-03-11,18058,1051,6
2021-03-12,16111,1066,13
2021-03-13,16206,1014,12
2021-03-14,16206,1159,18
2021-03-15,18695,1773,26
2021-03-16,20748,1719,26
2021-03-17,24275,1865,11
2021-03-18,20925,2187,16
2021-03-19,18917,1899,18
2021-03-20,19900,1868,26
2021-03-21,21108,2172,22
2021-03-22,25111,2809,30
2021-03-23,25954,3554,18
2021-03-24,27502,3567,25
2021-03-25,27045,3587,34
2021-03-26,27299,3737,33
2021-03-27,24664,3674,39
2021-03-28,22136,3908,35
2021-03-29,28195,5181,45
2021-03-30,26620,5042,45
2021-03-31,26931,5358,52
2021-05-01,15117,1452,60
2021-05-02,14158,1359,69
2021-05-03,19431,1739,65
2021-05-04,21984,1914,61
2021-05-05,20284,1742,50
2021-05-06,21585,1822,41
2021-05-07,17013,1682,37
2021-05-08,14703,1285,45
2021-05-09,16915,1386,56
2021-05-10,16848,1514,38
2021-05-11,14184,1230,33
2021-05-12,15296,1140,40
2021-05-13,13471,1290,31
2021-05-14,7835,848,26
2021-05-15,3758,261,22
2021-05-16,5430,363,25
2021-05-17,10347,698,32
2021-05-18,16855,1272,30
2021-05-19,20528,1608,37
2021-05-20,19437,1457,36
2021-05-21,18294,1504,26
2021-05-22,12230,1028,38
2021-05-23,15205,1354,28
2021-05-24,17683,1441,25
2021-05-25,16624,1675,40
2021-05-26,16434,1497,17
2021-05-27,15915,1292,22
2021-05-28,14606,1358,31
2021-05-29,13184,1043,38
2021-05-30,14277,1444,34
2021-05-31,18178,1710,36
2021-11-01,19734,214,2
2021-11-02,20031,229,3
2021-11-03,19523,256,7
2021-11-04,18690,247,7
2021-11-05,17446,196,3
2021-11-06,13072,154,1
2021-11-07,15234,178,4
2021-11-08,16812,215,6
2021-11-09,17530,206,3
2021-11-10,17987,235,2
2021-11-11,19544,237,1
2021-11-12,17231,221,5
2021-11-13,13569,151,6
2021-11-14,19517,223,4
2021-11-15,17700,234,4
2021-11-16,20764,213,2
2021-11-17,19670,266,6
2021-11-18,18124,253,7
2021-11-19,15107,178,0
2021-11-20,19507,244,5
2021-11-21,17135,199,7
2021-11-22,18614,264,2
2021-11-23,19568,284,3
2021-11-24,21002,312,3
2021-11-25,18888,237,9
2021-11-26,16916,239,3
2021-11-27,13462,155,2
2021-11-28,19811,205,3
2021-11-29,16891,227,2
2021-11-30,19802,273,1
2021-10-01,24670,847,21
2021-10-02,17283,589,24
2021-10-03,21246,617,18
2021-10-04,24928,794,18
2021-10-05,25499,694,23
2021-10-06,24376,703,21
2021-10-07,22321,663,12
2021-10-08,23302,645,7
2021-10-09,16925,415,20
2021-10-10,20355,481,14
2021-10-11,23193,599,11
2021-10-12,23155,543,14
2021-10-13,22153,518,17
2021-10-14,21568,466,7
2021-10-15,18980,396,9
2021-10-16,15580,293,6
2021-10-17,18097,314,16
2021-10-18,18812,339,10
2021-10-19,21308,469,7
2021-10-20,20393,368,6
2021-10-21,16088,243,10
2021-10-22,17100,232,4
2021-10-23,15042,278,9
2021-10-24,18485,275,9
2021-10-25,20773,289,5
2021-10-26,19184,276,6
2021-10-27,19951,306,7
2021-10-28,19535,294,6
2021-10-29,17811,305,7
2021-10-30,13240,166,8
2021-10-31,17226,211,6
2021-09-01,30294,3062,79
2021-09-02,33025,3436,88
2021-09-03,29438,3167,70
2021-09-04,17750,1743,61
2021-09-05,25163,2430,70
2021-09-06,27595,2710,65
2021-09-07,27233,2639,56
2021-09-08,27528,2497,52
2021-09-09,29541,2588,58
2021-09-10,26878,2325,38
2021-09-11,18869,1327,48
2021-09-12,25074,1871,51
2021-09-13,25388,1953,41
2021-09-14,31724,2074,35
2021-09-15,28615,1901,51
2021-09-16,31149,1862,51
2021-09-17,29756,1907,38
2021-09-18,19668,1190,35
2021-09-19,24623,1383,43
2021-09-20,27431,1555,26
2021-09-21,33327,1562,26
2021-09-22,28736,1376,36
2021-09-23,24820,1144,24
2021-09-24,27141,1233,31
2021-09-25,17818,818,25
2021-09-26,22221,980,21
2021-09-27,27787,1212,25
2021-09-28,29186,1310,31
2021-09-29,28599,1178,17
2021-09-30,26569,860,23
